event_type,query_type,latency_ms,cache_key,timestamp
miss,Q3,30.043,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235282.7144148
miss,Q4,11.703,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z3""}",1777235282.7363763
miss,Q3,11.117,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235282.759284
hit,Q3,0.992,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235282.7711961
miss,Q2,11.86,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235282.7943754
miss,Q3,12.231,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235282.818964
miss,Q4,12.336,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777235282.8430226
miss,Q5,13.225,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235282.8687618
miss,Q4,13.011,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777235282.8933685
miss,Q1,10.561,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235282.9134917
miss,Q3,9.927,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235282.9352705
miss,Q5,11.821,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777235282.9576633
miss,Q5,10.836,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235282.9780982
hit,Q2,0.792,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235282.9898832
miss,Q1,11.326,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235283.0107229
hit,Q3,0.763,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235283.0226612
hit,Q3,0.77,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235283.0329633
miss,Q5,13.061,"Q5:{""bins"": 10, ""zone_id"": ""Z5""}",1777235283.057146
hit,Q1,1.081,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235283.069446
hit,Q5,0.702,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235283.080085
miss,Q1,9.493,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777235283.1011364
hit,Q5,0.702,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235283.1121264
miss,Q4,10.692,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235283.1333039
hit,Q1,0.694,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235283.1446457
miss,Q3,10.502,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.1658046
miss,Q4,10.81,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777235283.1870127
miss,Q5,11.346,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235283.2076113
miss,Q2,10.813,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235283.2276435
miss,Q1,9.333,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.2480893
hit,Q1,0.798,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.2595057
miss,Q1,10.049,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235283.279738
miss,Q2,10.047,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.3006747
miss,Q2,10.631,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235283.321757
miss,Q4,12.891,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777235283.344561
miss,Q1,10.278,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235283.3664386
miss,Q4,11.357,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z3"", ""zone_b"": ""Z4""}",1777235283.3898394
miss,Q5,10.106,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777235283.4096606
miss,Q4,11.316,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z5""}",1777235283.4307706
miss,Q1,9.299,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235283.4517806
hit,Q3,0.658,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235283.4627984
miss,Q5,10.176,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777235283.4816384
miss,Q4,10.654,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z3"", ""zone_b"": ""Z2""}",1777235283.502011
miss,Q2,10.367,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235283.5239398
miss,Q4,10.827,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777235283.5440116
hit,Q2,1.239,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235283.555064
hit,Q4,0.748,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z5""}",1777235283.5653517
hit,Q5,0.742,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777235283.5784464
hit,Q4,0.693,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777235283.5904732
miss,Q5,10.93,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235283.610795
hit,Q1,0.848,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.6228344
hit,Q5,0.909,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235283.6343384
hit,Q1,0.652,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235283.6454737
hit,Q2,1.513,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.6560946
miss,Q2,11.121,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235283.676225
hit,Q3,0.716,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235283.6875257
hit,Q2,0.779,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.696962
hit,Q5,0.65,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235283.7087166
hit,Q1,0.771,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235283.7205262
hit,Q1,0.745,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235283.7300718
hit,Q2,0.655,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.7421622
miss,Q1,10.661,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235283.7626476
hit,Q2,1.167,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235283.7740028
miss,Q1,11.817,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235283.7950022
miss,Q4,9.497,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777235283.81581
hit,Q4,0.724,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z5""}",1777235283.8280785
miss,Q2,10.544,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235283.8477569
hit,Q5,0.749,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235283.8594022
miss,Q4,10.764,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235283.8816564
hit,Q5,0.575,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235283.893016
miss,Q1,11.087,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235283.913843
miss,Q2,10.294,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235283.9351163
miss,Q4,11.954,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777235283.9579535
