event_type,query_type,latency_ms,cache_key,timestamp
miss,Q4,32.317,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777232104.9457326
miss,Q4,10.791,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232104.9676619
miss,Q2,10.807,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232104.9905202
miss,Q5,14.3,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777232105.016847
miss,Q1,11.507,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232105.0396965
miss,Q2,12.747,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232105.0622284
miss,Q4,11.996,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232105.086222
hit,Q4,0.729,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232105.0980976
miss,Q2,11.813,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232105.1192312
miss,Q3,12.442,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232105.1430502
miss,Q1,10.457,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232105.1644585
miss,Q2,12.277,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232105.1884494
miss,Q1,11.718,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232105.209962
miss,Q2,10.696,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232105.2314308
hit,Q1,0.701,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232105.2432764
hit,Q4,0.755,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232105.254315
miss,Q4,10.957,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777232105.275041
hit,Q2,0.821,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232105.2877843
miss,Q4,11.594,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777232105.309214
miss,Q4,11.614,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777232105.333339
miss,Q4,10.415,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777232105.353942
miss,Q3,10.812,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232105.37428
miss,Q1,10.608,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232105.3944721
miss,Q5,13.15,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777232105.4184146
miss,Q5,9.563,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777232105.4377005
miss,Q5,10.492,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777232105.457368
miss,Q4,10.674,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z5""}",1777232105.4786267
miss,Q3,9.355,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232105.4983737
miss,Q4,11.055,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777232105.5194416
miss,Q1,10.348,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232105.539975
hit,Q4,0.716,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232105.5506043
miss,Q4,11.236,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777232105.5727472
miss,Q5,10.309,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232105.5921593
miss,Q3,11.359,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232105.6132865
miss,Q4,9.462,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777232105.633073
miss,Q2,10.672,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777232105.6546967
hit,Q1,0.811,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232105.6646755
