event_type,query_type,latency_ms,cache_key,timestamp
miss,Q3,32.824,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232023.6373355
miss,Q4,11.641,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232023.6606398
miss,Q5,15.274,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232023.6885726
miss,Q2,10.452,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777232023.7099223
miss,Q2,13.077,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232023.7354925
miss,Q3,9.468,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232023.7556252
miss,Q4,11.493,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777232023.7777982
miss,Q1,12.451,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232023.8025727
miss,Q1,9.266,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232023.8216674
miss,Q3,11.269,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232023.843266
miss,Q3,8.831,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777232023.8612065
miss,Q3,10.927,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232023.8823638
miss,Q1,10.632,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777232023.902384
miss,Q5,12.481,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777232023.924637
miss,Q5,13.727,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777232023.9511352
miss,Q3,9.196,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232023.9702826
miss,Q2,9.058,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232023.9879587
miss,Q1,11.215,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777232024.0101573
miss,Q5,14.672,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777232024.0371912
miss,Q5,11.939,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777232024.0596392
miss,Q1,10.323,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232024.0800843
hit,Q2,0.789,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232024.0917008
hit,Q5,1.534,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777232024.1035717
miss,Q1,10.972,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.1253424
hit,Q3,0.726,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232024.1370037
hit,Q3,1.004,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232024.1471622
hit,Q5,0.675,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232024.158002
hit,Q3,0.651,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232024.1703277
hit,Q3,0.787,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232024.180363
hit,Q1,0.737,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232024.1912713
miss,Q1,10.258,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777232024.212708
hit,Q1,0.789,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.2245452
miss,Q3,10.9,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.2458289
miss,Q4,10.135,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z3"", ""zone_b"": ""Z5""}",1777232024.2679834
hit,Q1,0.715,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.2792819
hit,Q1,0.713,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232024.2904878
miss,Q2,11.065,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232024.3117158
miss,Q2,10.883,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.3339238
miss,Q3,10.819,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232024.3547611
hit,Q2,0.858,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232024.3663888
miss,Q1,9.426,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232024.385078
miss,Q5,12.505,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777232024.4072778
hit,Q2,0.874,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232024.419346
hit,Q3,0.776,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232024.4290805
