event_type,query_type,latency_ms,cache_key,timestamp
miss,Q3,33.417,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231346.8435082
miss,Q4,11.84,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z2""}",1777231346.8672855
miss,Q5,13.72,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777231346.8937209
miss,Q5,12.129,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777231346.9162233
miss,Q4,11.653,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z3"", ""zone_b"": ""Z4""}",1777231346.9401107
miss,Q4,11.958,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777231346.963685
miss,Q2,11.771,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231346.9866138
hit,Q2,1.491,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231346.9996727
miss,Q3,12.088,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.0228152
hit,Q5,0.771,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777231347.0348036
miss,Q3,11.028,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777231347.0558276
miss,Q4,11.92,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777231347.080579
miss,Q3,12.038,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231347.1035318
miss,Q2,10.139,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231347.1229398
miss,Q4,10.749,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z3"", ""zone_b"": ""Z2""}",1777231347.143
miss,Q3,9.639,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231347.163624
miss,Q1,10.715,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777231347.1849604
miss,Q1,10.052,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.2047386
miss,Q2,11.435,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777231347.2279077
miss,Q5,11.868,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.2503307
miss,Q2,11.14,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777231347.2723835
hit,Q5,0.651,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.2827733
miss,Q5,12.26,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777231347.3056996
hit,Q3,0.793,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777231347.3188202
miss,Q2,11.917,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777231347.3395798
miss,Q3,10.549,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777231347.3611293
hit,Q5,0.694,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.373289
miss,Q2,10.842,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.3948164
hit,Q5,0.697,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.4067216
miss,Q1,9.404,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777231347.4269645
miss,Q1,9.774,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231347.4473538
hit,Q3,0.661,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231347.458207
miss,Q5,11.715,"Q5:{""bins"": 10, ""zone_id"": ""Z5""}",1777231347.4801261
hit,Q5,0.806,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777231347.4911814
hit,Q3,0.611,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231347.5028408
hit,Q3,0.84,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231347.512781
miss,Q2,10.645,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231347.5343795
miss,Q1,10.074,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231347.5539324
miss,Q2,10.899,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777231347.575065
miss,Q4,9.968,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777231347.594304
hit,Q1,0.665,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.605258
hit,Q2,0.835,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231347.6157973
hit,Q5,0.628,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.6270356
miss,Q5,12.363,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777231347.650988
miss,Q3,8.889,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777231347.6702178
miss,Q3,10.405,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777231347.6895728
miss,Q4,11.81,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777231347.7120392
hit,Q3,1.204,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231347.72395
hit,Q2,0.736,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.735322
miss,Q4,12.059,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777231347.7564232
hit,Q5,0.665,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777231347.766517
miss,Q1,11.937,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231347.7900472
hit,Q5,0.635,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.8018913
miss,Q3,10.543,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777231347.8220313
miss,Q4,10.489,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777231347.8438232
hit,Q5,0.803,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777231347.8558183
hit,Q3,1.016,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.8682632
hit,Q5,0.796,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.8786952
hit,Q2,0.812,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777231347.8907402
hit,Q5,0.631,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.9022276
