event_type,query_type,latency_ms,cache_key,timestamp
miss,Q2,12.135,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235428.5904915
miss,Q2,9.819,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777235428.6099684
miss,Q4,10.714,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z2""}",1777235428.6294103
miss,Q5,12.607,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235428.6522732
miss,Q5,11.954,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777235428.6755044
miss,Q1,10.831,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235428.6964555
miss,Q2,10.314,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235428.716223
miss,Q5,11.67,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777235428.7380192
miss,Q1,10.768,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235428.7587695
miss,Q1,11.107,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235428.7801728
miss,Q1,9.853,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235428.8009436
miss,Q4,10.932,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777235428.822103
miss,Q1,10.345,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235428.8425817
miss,Q2,11.191,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235428.8636458
hit,Q5,0.752,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777235428.8754005
miss,Q3,11.065,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235428.8958983
miss,Q4,9.976,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777235428.9169555
miss,Q3,11.839,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235428.939588
miss,Q3,9.188,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235428.9581907
miss,Q4,11.534,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z2""}",1777235428.978807
miss,Q5,14.373,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777235429.0019133
miss,Q1,10.695,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235429.0230474
miss,Q5,12.23,"Q5:{""bins"": 10, ""zone_id"": ""Z5""}",1777235429.0442407
hit,Q1,0.797,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235429.0551066
miss,Q3,10.101,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235429.074759
miss,Q4,12.337,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777235429.0966506
hit,Q3,1.423,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235429.108212
miss,Q3,10.641,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235429.129157
hit,Q1,0.794,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235429.1389472
miss,Q3,9.792,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235429.1578832
miss,Q2,9.899,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235429.1772132
miss,Q3,11.556,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235429.1984484
hit,Q3,0.735,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235429.210468
miss,Q3,11.998,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235429.231213
